Scientific name,Acronym,In modelling folder,Functional Group,Taxonomic Group,Phylum,Common name
Palaemon macrodactylus,Pmac,Yes,Zoobenthos,Malacostraca,Arthropoda,Oriental shrimp
Protoperidinium marielebouriae,Pmar,Yes,Phytoplankton,Dinoflagellate ,Myzozoa, 
Pseudodiaptomus marinus,Pnus,Yes,Zooplankton,Copepoda,Arthropoda,
Polysiphonia morrowii,Pmor,Yes,Phytobenthos,Rhodophyta,Rhodophyta,Red algae
Pseudo-nitzschia pseudodelicatissima,Pnpd,Yes,Phytoplankton,Ochrophyta ,Ochrophyta,Diatom
Pseudo-nitzschia turgidula,Pntu,Yes,Phytoplankton,Ochrophyta ,Ochrophyta,Diatom
Protoperidinium oblongum,Pobl,Yes,Phytoplankton,Dinoflagellate ,Myzozoa,
Protoperidinium obtusum,Pobt,Yes,Phytoplankton,Dinoflagellate ,Myzozoa,
Polydora limicola,Plim,Yes,Zoobenthos,Poylchaeta,Annelida,
Petricolaria pholadiformis,Ppho,Yes,Zoobenthos,Mollusca,Mollusca,
Platorchestia platensis,Ppla,Yes,Zoobenthos,Amphipoda,Arthropoda,
Phaeocystis pouchetii,Ppou,Yes,Phytoplankton,Haptophyta,Haptophyta,Phytoplankton
Prorocentrum cordatum,Ptum,Yes,Phytoplankton,Dinoflagellate ,Myzozoa,
Polydora websteri,Pweb,Yes,Zoobenthos,Poylchaeta,Annelida,
Pyropia leucosticta,Pcta,Yes,Phytobenthos,Rhodophyta,Rhodophyta,Red algae
Rhithropanopeus harrisii,Rhar,Yes,Zoobenthos,Decapoda,Arthropoda,Harris mud crab
Styela clava,Scal,Yes,Zoobenthos,Tunicata,Chordata,Club tunicate
Schizoporella japonica,Sjap,Yes,Zoobenthos,Bryozoa,Bryozoa,Orange ripple bryozoan
Scolelepis korsuni,Skor,Yes,Zoobenthos,Polychaeta,Annelida,
Spiophanes kroyeri,Skro,Yes,Zoobenthos,Polychaeta,Annelida,
Sargassum muticum,Smut,Yes,Phytobenthos,Phaeophycea,Ochrophyta,Japanese wireweed
Scolelepis squamata,Ssqu,Yes,Zoobenthos,Polychaeta,Annelida,
Sinelobus stanfordi,Ssta,Yes,Zoobenthos,Malacostraca,Arthropoda,Tube-building crustacean
Stephanopyxis turris,Stur,Yes,Phytobenthos,Ochrophyta,Ochrophyta,Microscopic algae
Schizoporella unicornis,Suni,Yes,Zoobenthos,Bryozoa,Bryozoa,
Sinelobus vanhaareni,Svan,Yes,Zoobenthos,Malacostraca,Arthropoda,
